Year,11355,1945,34488,46528,50208,52245,54022,54729,55003,55009,55013,55021,55033,55037,55038,55042,55044,55071,55074,55075,55076,55077,55082,55092,55101,55102,55103,55104,55105,55106,55107,55108,55109,55110,55112,55113,55114,55115,55116,55117,55118,55119,55120,55121,55122,55124,55125,55127,55128,55129,55130,55204,55304,55306,55316,55337,55343,55345,55347,55372,55387,55401,55403,55404,55405,55406,55407,55408,55411,55412,55413,55414,55416,55417,55418,55419,55420,55421,55422,55423,55425,55428,55432,55433,55437,55438,55443,55446,55447,55448,55455,55767,55804,55810,55901,55936,55987,56001,60624,99163,No_Data
2019,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,2,0,0,1,4,1,1,1,1,10,13,9,31,10,58,8,5,6,3,0,3,4,0,9,21,2,11,0,1,3,0,1,1,5,0,13,0,0,0,1,1,0,0,1,1,0,1,1,4,0,1,4,0,2,3,0,0,0,0,2,1,0,0,1,2,0,0,0,2,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,7
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8,11,3,16,3,25,3,2,3,1,0,1,0,0,15,13,3,4,0,1,0,0,0,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
2021,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,7,12,8,28,9,44,5,3,1,1,2,0,1,0,13,12,2,10,0,0,1,0,2,0,1,1,9,0,0,0,0,1,1,0,2,0,0,0,0,1,0,2,0,0,1,1,1,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,2,1,1,0,0,1,0,0,0,1,0,1,0,0,4
2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,1,0,14,15,13,37,8,55,12,3,0,0,0,4,0,5,1,27,0,14,4,0,0,2,2,0,0,0,9,0,4,4,0,0,0,2,0,0,2,0,2,4,2,9,4,3,1,2,0,1,0,4,3,0,2,0,0,0,1,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,21
2023,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,5,0,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
